Seller,Vendor,NameTag,softwareTag,roleTag,stackTag,groupTag,projectTag,aws:cloudformation:stack-idTag,aws:cloudformation:stack-nameTag,aws:cloudformation:logical-idTag,aws:autoscaling:groupNameTag,Hosting TypeCategory,PortfolioAccountGroupValue,ClosingMonthAccountGroupValue,DescriptionAccountGroupValue,ProductAccountGroupValue,Product OwnerAccountGroupValue,AvailabilityZone,ClockSpeed,ContainerClusterName,ContainerNamespace,CurrencyCode,ItemDescription,LeaseType,Location,NormalizedInstanceType,OperatingSystem,Operation,ProductCode,ProductName,ProviderUnitOfMeasure,Region,SavingsPlanOfferingType,SavingsPlanPaymentOption,SavingsPlanPurchaseTerm,TaxType,NormalizedTransactionType,UsageFamily,UsageQuantityUnit,UsageType,VolumeType,AdjustedAmortizedCost,AdjustedCost,AmortizedCostAdjustment,BlendedCost,BlendedRate,Cost,CostAdjustment,CostGbMonths,GrossCost,NetUnblendedCost,NormalizationFactor,NormalizedAmortizedCost,NormalizedUsageAmount,NormalizedUsageQuantity,OnDemandUsageHours,PublicOnDemandCost,Rate,ReservationNetEffectiveCost,SavingsPlanNetEffectiveCost,UnBlendedCost,UnBlendedRate,UsageHours,UsageQuantity
Amazon,Amazon,,,,all,customerpromise,sppd,,,,,IaaS,DotCom,Mar-22,SPPD (BOSS),Order Management,Steve Almashoor,,,,,USD,$0.004 per 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,shopping,codeship,,,,,IaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,PaaS,Shared Services,,Redundant account for switching between accounts,,,,,,,USD,$0.05 per 10000 API Requests,On-Demand,Asia Pacific (Singapore),,,ListSecrets,AWSSecretsManager,AWS Secrets Manager,API Requests,ap-southeast-1,,,,,Usage,Security,Unknown,APS1-AWSSecretsManagerAPIRequest,,9.00E-05,9.00E-05,0,9.00E-05,5.00E-06,9.00E-05,0,0,9.00E-05,0,0,9.00E-05,0,18,0,9.00E-05,5.00E-06,0,0,9.00E-05,5.00E-06,0,18
Amazon,Amazon,devops-cd-prod-fluent-aggregator,,fluent-aggregator,prod,devops,cd,,,,,IaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,IaaS,DotCom,,Legacy product cache API,API Tribe,,,,,,USD,$0.000 per GB - data transfer out under the monthly global free tier,On-Demand,US East (N. Virginia),,,ReadLocation,AmazonS3,Amazon Simple Storage Service,GB,us-east-1,,,,,Usage,Data Transfer,BytesTransferred,DataTransfer-Out-Bytes,,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54E-05,0,0,0,0,0,0,0,0,4.54E-05
Amazon,Amazon,ls-st1,,,,,,,,,,PaaS,Customer & Loyalty,,Loyalty Services / Sparks,,,,,,,USD,$0.02 per GB - EU (Ireland) data transfer to EU (Germany),On-Demand,EU (Ireland),,,None,AmazonES,Amazon OpenSearch Service,GB,eu-west-1,,,,,Usage,Data Transfer,BytesTransferred,EU-EUC1-AWS-Out-Bytes,,4.68E-08,4.68E-08,0,4.68E-08,0.02,4.68E-08,0,0,4.68E-08,0,0,4.68E-08,0,2.34E-06,0,4.68E-08,0.02,0,0,4.68E-08,0.02,0,2.34E-06
Amazon,Amazon,kibana-external-st1,,,,,,,,,,PaaS,Customer & Loyalty,,Loyalty Services / Sparks,,,,,,,USD,$0.00 per GB - EU (Ireland) data transfer from EU (Paris),On-Demand,EU (Ireland),,,LoadBalancing-PublicIP-In,AWSELB,Elastic Load Balancing,GB,eu-west-1,,,,,Usage,Data Transfer,BytesTransferred,EU-EUW3-AWS-In-Bytes,,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45E-08,0,0,0,0,0,0,0,0,7.45E-08
Amazon,Amazon,,,,perf,customerpromise,sppd,,,,,IaaS,DotCom,Mar-22,SPPD (BOSS),Order Management,Steve Almashoor,,,,,USD,$0.004 per 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,IaaS,Food,,Quantum Development VMs,,Andrew Goslin,,,,,USD,$0.000 per GB - data transfer out under the monthly global free tier,On-Demand,EU (Ireland),,,ReadLogProps,AmazonS3,Amazon Simple Storage Service,GB,eu-west-1,,,,,Usage,Data Transfer,BytesTransferred,EU-DataTransfer-Out-Bytes,,0,0,0,1.40E-07,0.06485865,0,0,0,0,0,0,0,0,2.15E-06,0,0,0,0,0,0,0,0,2.15E-06
Amazon,Amazon,,,,,,,,,,,PaaS,Food,,Quantum Development VMs,,Andrew Goslin,,,,,USD,0.0 per free event recorded in US West (Oregon) region,On-Demand,US West (Oregon),,,None,AWSCloudTrail,AWS CloudTrail,Events,us-west-2,,,,,Usage,Events,Events,USW2-FreeEventsRecorded,,0,0,0,0,0,0,0,0,0,0,0,0,0,1557,0,0,0,0,0,0,0,0,1557
Amazon,Amazon,,,,,,,,,,,IaaS,DotCom,,Dotcom APIs,API Tribe,,,,,,USD,$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier,On-Demand,EU (Ireland),,,ReadLocation,AmazonS3,Amazon Simple Storage Service,GB,eu-west-1,,,,,Usage,Data Transfer,BytesTransferred,EU-DataTransfer-Out-Bytes,,3.85E-06,3.85E-06,0,2.77E-06,0.06485865,3.85E-06,0,0,3.85E-06,0,0,3.85E-06,0,4.27E-05,0,3.85E-06,0.09,0,0,3.85E-06,0.09,0,4.27E-05
Amazon,Amazon,content-v2-service-elb perf 0.266.0,,,,,,,,,,PaaS,DotCom,,Dotcom APIs,API Tribe,,,,,,USD,$0.008 per GB Data Processed by the LoadBalancer,On-Demand,EU (Ireland),,,LoadBalancing,AWSELB,Elastic Load Balancing,GB,eu-west-1,,,,,Usage,Load Balancer,Unknown,EU-DataProcessing-Bytes,,2.37E-04,2.37E-04,0,2.37E-04,0.008,2.37E-04,0,0,2.37E-04,0,0,2.37E-04,0,0.029662783,0,2.37E-04,0.008,0,0,2.37E-04,0.008,0,0.029662783
Amazon,Amazon,,,app,perf,api,storefinder,,,,,PaaS,DotCom,,Dotcom APIs,API Tribe,,,,,,USD,$0.00 per GB - EU (Ireland) data transfer from US East (Northern Virginia),On-Demand,EU (Ireland),,,LoadBalancing-PublicIP-In,AWSELB,Elastic Load Balancing,GB,eu-west-1,,,,,Usage,Data Transfer,BytesTransferred,EU-USE1-AWS-In-Bytes,,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99E-06,0,0,0,0,0,0,0,0,4.99E-06
Amazon,Amazon,,,,,taf,bdd,,,,,IaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,PaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
